question,answer,id,relevant_passage_ids
Is there a mouse model for Fanconi anemia?,"A number of mouse models have already been generated with a targeted disruption of several Fanconi anemia genes, such as FANCA, FANCF, FANCM, FANCD1, etc.",1543,"[ 8879267 11879775 12200363  9678061 12135664 10936049 19561169 22660274
 21240276 21915857 16859999 18812474 19427003  9531583]"
Which are the drugs utilized for the burning mouth syndrome?,"Dopaminergic drugs should be given in patients with BMS. 
Catuama reduces the symptoms of BMS and may be a novel therapeutic strategy for the treatment of this disease.
Capsaicin, alpha-lipoic acid (ALA), and clonazepam were those that showed more reduction in symptoms of BMS.
Treatment with placebos produced a response that was 72% as large as the response to active drugs",149,"[18976257 22044166  9844361 22040716 17541900  1776404 17287703 19837207
 11838624 18343329 16903201  2811814 22344742 22092585 24164777 23772971
  1508523 22957483  8323246  7629360 11441716 10431669 21743413 20415927
 18588600 21743415 10625850  2726203 22750263 21528119 17559486 11871678
 20597947 23229252 22260804 15210564  1923398 21223496 15195716 12536654
 18625105 11485137 19450321  8725589  8543701 24558551 23201368 22612823
 12110042 22669143 20969436  9830647 14765022 19689438 18558051 14704612
 19658340 16637799 20690412 18548844 17849966 14650993 22819057 10425973
 23429751  2098940]"
Can RG7112 inhibit MDM2?,"Yes, RG7112 is a small molecule MDM2 antagonist.",1067,"[23808545 21391905 22753001 23084521 25082860 23400593 24869939 24900694
 24812409 24309210]"
What is the effect of ivabradine in heart failure with preserved ejection fraction?,"I(f)-channel inhibition potentially exhibits beneficial effects in diastolic heart failure.  In patients with heart failure with preserved ejection fraction (HFpEF), short-term treatment with ivabradine increased exercise capacity, with a contribution from improved left ventricular filling pressure response to exercise as reflected by the ratio of peak early diastolic mitral flow velocity to peak early diastolic mitral annular velocity.  Ivabradine has demonstrated benefits in HFpEF without improving mortality.	In db/db, a model of HFpEF, ivabradine improved vascular stiffness, left ventricular contractility, and diastolic function. Furthermore, ivabradine reduces cardiac fibrosis in hypercholesterolemic rabbits.",247,[21212673 20005474 22833515 23274284 23916925]
which mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy?,The following mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy: L29Q; A8V; A31S; E134D; c.363dupG; A23Q; D145E and C84Y,56,"[24260207 18285522 19506933 19439414 22489623 22815480 20566645 21262074
 23425245 16302972 18572189 20459070]"
Can canagliflozin cause euglycemic diabetic ketoacidosis?,"Yes, canagliflozin use can cause euglycemic diabetic ketoacidosis. In May 2015, the FDA issued a warning of ketoacidosis with use of sodium-glucose cotransporter-2 (SGLT-2) drug class.",2476,"[28634592 28090050 29039237 27471597 27088018 26912914 27375734 27928503
 27717592 29099159]"
What is known about aberrant proteolytic activity in disease?,"Research into Alzheimer's disease pathology and treatment has often focused on presenilin proteins. These proteins provide the key catalytic activity of the γ-secretase complex in the cleavage of amyloid-β precursor protein and resultant amyloid tangle deposition. Over the last 25 years, screening novel drugs to control this aberrant proteolytic activity has yet to identify effective treatments for the disease.
Others are human skin disorders where proteolytic pathways are dysregulated.",4220,[18565216 24380647 27079701 18710591]
Can desvenlafaxine be used at a dose of 50mg/day?,"Yes, desvenlafaxine can be at 50mg/day to treat patients with major depressive disorder.  Studies suggest that 50 mg is the minimum effective dose of desvenlafaxine for the treatment of major depressive disorder. The recommended dose of DVS ranges from 50 to 100 mg.",1216,"[20107296 23881185 22173281 21067460 23473348 23517291 23587982 19407730
 18507895 19407711]"
Which gene mutations are predictive of response to anti-TNF therapy in Rheumatoid Arthritis patients?,Μutations in TLR5 and TLR1 genes contribute to differential response to anti-TNF treatment in RA. Variation at FCGR2A and functionally related genes such as DHX32 and RGS12 is also associated with the response to anti-TNF therapy in rheumatoid arthritis.,2213,[25848939 26440629 22044414]
Has vitamin D has been shown to reduce incidence of falls in older people in clinical trials?,"The rate of falls and the number of fallers was significantly reduced in two studies evaluating the effect of medication on preventing falls; one study (85 participants) compared vitamin D versus placebo in institutionalised women after stroke with low vitamin D levels, and the other study (79 participants) evaluated alendronate versus alphacalcidol in hospitalised people after stroke.
Two studies testing vitamin D versus placebo and alendronate versus alphacalcidol found a significant reduction in falls and the number of people falling.
Overall, vitamin D did not reduce rate of falls (RaR 1.00, 95% CI 0.90 to 1.11; seven trials; 9324 participants) or risk of falling (RR 0.96, 95% CI 0.89 to 1.03; 13 trials; 26,747 participants), but may do so in people with lower vitamin D levels before treatment.
We found 26 eligible trials of moderate quality that enrolled 45,782 participants, the majority of which were elderly and female. Vitamin D use was associated with statistically significant reduction in the risk of falls (odds ratio for suffering at least one fall, 0.86; 95% confidence interval, 0.77-0.96)",218,[20796001 22972103 23728680 20136906 20230348 18979152 23922354 21795448]
What is cebocephaly,"Cebocephaly is a developmental anomaly of the head characterized by a small head, with a defective small, flattened nose with a single nostril or absent nose and closely set eyes.",2411,[16061113 19673365 23599105  2255999]
Is amoxicillin used for treatment of malnutrition in children?,"Yes, amoxicillin is used for treatment of malnutrition in children.",1005,[18318945 23363496 21836758 23755286 23326395 20545919]
Which genes have been associated with Cerebral Cavernous Malformation?,"Loss-of-function mutations in genes encoding CCM1 (also known as KRIT1), CCM2 (also known as OSM and malcavernin) or CCM3 (also known as PDCD10) cause cerebral cavernous malformations (CCMs).",123,"[25122144 15543491 25086949 14697511 24990152 11310633 12140362 25451273
 12172908 16100539 16465592 26246098 20592472 24466005 24287896 12877753
 24481819 24251678]"
Which is the main difference in the roles of Otx2 and Nanog during development?,Antagonism between the transcription factors NANOG and OTX2 specifies rostral or caudal cell fate during neural patterning transition . The transcription factor Otx2 acts as a negative switch in the regulation of transition from naive to primed pluripotency in mouse pluripotent stem cells . OTX2-mediated Nanog regulation contributes to the integrity of the ESC state and cell lineage specification in preimplantation development .,3853,[29386354 27924227 27292645 29056334]
"Which server is used for generating modes of pseudo components of DNA, RNA and protein sequences?","Pse-in-One is a web server for generating various modes of pseudo components of DNA, RNA, and protein sequences. It can, through its 28 different modes, generate nearly all the possible feature vectors for DNA, RNA and protein sequences. Particularly, it can also generate those feature vectors with the properties defined by users themselves. These feature vectors can be easily combined with machine-learning algorithms to develop computational predictors and analysis methods for various tasks in bioinformatics and system biology.",2167,[25958395]
Is treatment resistant depression related to vitamin B9?,"Treatment with SAMe, as well as with various formulations of folates and analogues, appears to be efficacious and well tolerated in reducing depressive symptoms in treatment resistant depression.",1861,[24324965 25229175 24519190 22762295 23538072 18370582 27655070]
What is the effect of notch in the division of neural progenitor cells in Drosophila?,"The Notch pathway mediates the differentiation of neural progenitor cells in Drosophila. It's an important part of the development of neural stem cells, which are the cells that make up the brain. Notch/HES signaling and MIR-9 signaling are very important for the homeostasis of neural cells. It is thought that notch activation is responsible for the growth of neurons.",3945,"[24583034 11234018 25336612 19059466 18956012 12100893 15081359 27466320
 33229432 30176986 19783418 18000541 28573150]"
What is the prevalence of poor metabolizers of CYP2C19 among Southern Asians compared to East Asians?,Southeast Asians exhibit a higher prevalence of CYP2C19-poor metabolisers compared with Caucasians and East Asians.,4117,[31846723]
Is there any relationship between histone ubiquitylation and splicing?,"Yes, in the case of histone H2B",445,[22188810 23824326 23209445 19561118]
Which are the most common methods for gene prioritization analysis?,"Functional annotation-based approaches and literature-based approaches have been initially used. In recent years, network-based methods - which utilize a knowledge network derived from biological knowledge - have been utilized for gene prioritization. Currently network-based methods are the ones most widely used.",748,"[18508807 22808075 19346957 23633938 18689812 24110485 17939863 21699738
 20823322 24260251 19465376 20823330 23434623 22570409 22654636 23855662
 20840752 22893106 20576703 18433471 21731658 16680138 17646288 21668950
 21602267 24219996 19602527 20074336 21609954 22430954 23028459 23185389
 17267438 22719993 23696895]"
What molecule is targeted by Avelumab?,Avelumab is a monoclonal antibody that binds programmed death-ligand 1 (PD-L1).,1781,"[27172898 27350882 27592805 26921031 27815822 27716622 26014098 27490642
 27196116 27544053 26880697 26477470]"
Which pharmacogenetic test is recommended prior to administering carbamazepine and why?,"HLA-B∗15:02 is known as a biomarker for carbamazepine (CBZ) induced Steven-Johnson Syndrome and Toxic Epidermal Necrolysis (SJS/TEN) in some Asian populations. Hence United States Federal Drug Administration (USFDA) recommends HLA-B∗15:02 screening for Asian and other populations with a high prevalence of HLA-B∗15:02, prior to the administration of carbamazepine.",4151,[27060780]
What is the mode of inheritance of  long QT  Jervell and Lange-Nielsen syndrome?,Jervell and Lange-Nielsen long QT syndrome (JLNS) is characterized by autosomal recessive mode of inheritance,1647,"[11140992  9302275 10593671 12132284 23392653 10077519  1917338  9341873
  7721491 10654932 11140949 18595190 23400408 15950200  1721555 12051962
 10704188]"
Are stress granules involved in the pathogenesis of Amyotrophic Lateral Sclerosis?,"Stress granules are cytoplasmic inclusions that repress translation of a subset of RNAs in times of cellular stress, and several proteins implicated in neurodegeneration (i.e. Ataxin-2 and SMN) interact with stress granules. Mutant FUS proteins that cause amyotrophic lateral sclerosis incorporate into stress granules. ALS-linked mutations in profilin 1 alter stress granule dynamics, providing further evidence for the potential role of stress granules in ALS pathogenesis. ALS mutations in FUS NLS can impair FUS nuclear localization, induce cytoplasmic inclusions and stress granules, and potentially perturb RNA metabolism.",108,"[26557057 23474818 23629963 25888396 25429138 24297750 24090136 20606625
 24920614 21173160 24336168 20674093 20699327 19765185 23257289 25216585
 24312274 22405725 24013423 23152885]"
What is the target protein of the drug Idelalisib?,Idelalisib represents a first-in-class specific inhibitor of the phosphoinositol-3 kinase (PI3K) delta isoform.,561,"[24273091 24060900 23617253 24261963 24009233 24085367 23847354 24323900
 24014301]"
Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?,"Miller Fisher syndrome is a variant of Guillain-Barre syndrome characterized by the classic triad of ophthalmoplegia, ataxia, and areflexia",687,"[16049921  1667714  9703176 15909003  8437011 15012892 11521055 10965158
 19810856 16155441  3612209 10511801 22447677 25072194 21325125 18428104
 19263690 16645971 11155543 19374296 26380131 24513384 26366317]"
What is the role of TNF in obesity?,"The role of TNF in obesity is not fully understood, but it is thought to play a major role in adipose tissue formation and fat storage. TNF-alpha is a protein that has been shown to increase fat storage in fat cells. It is also thought to have a role in insulin resistance.",4016,"[10359811 17578885 18339717 11334412  9877261 30165404  7926300  9792545
 26113076 10395191  9137980 11126333 15009470  9644096 15813957  8662983
 17935818  9335502 20173393  9664082 17088083 24078163 20357716  7738205
  8899294  9832419  7678183 17020651 10668912  9278582 10371192 30548217]"
List fish anti-freeze proteins.,"AFP-I
AFP-II
AFP-III
Anti-freeze glycoprotein
Thermal hysteresis protein",663,"[12065219 16297800 17189482 22180206 17553775 11240367 15059666 19857362
 10405170 23479899 15146494]"
What is the efficacy of oxaliplatin monotherapy in the management of colorectal cancer?,"Oxaliplatin is a promising treatment option for patients with metastatic colorectal cancer. It appears to be particularly advantageous (in terms of response rate and duration of progression-free survival) when used in combination with fluorouracil/calcium folinate as both a first- and second-line option, although preliminary studies have failed to show any survival advantage over fluorouracil/calcium folinate alone. Promising results have been found in studies of the drug as monotherapy, and oxaliplatin may also prove useful in the neoadjuvant setting in patients with unresectable liver metastases; however, data are limited at present",1264,[15879624 10408744 16702162  9704726 18094427]
What is the sedimentation coefficient of the mammalian mitoribosome?,"The mammalian mitochondrial ribosome (mitoribosome) has a highly protein-rich composition with a small sedimentation coefficient of 55 S, consisting of 39 S large and 28 S small subunits.",850,[11943462  6284743 19567276 14757048 11402041 15966747]
What species is associated with Tetrodotoxin?,"Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.",612,"[20637221 22028709 24295175 20411115 22163191 20161971 21734837 20479966
 22688023 23724281 21549050 22690139 24279996 22069694]"
In which cellular compartment do stress granules localize?,cytoplasm,3603,[29298433 23474818 27057671 25148713 29035885 28894257 23982513 22383896]
Which gene is the paralog of yeast UPC2?,the related transcription factors Ecm22 and Upc2 play a crucial role in Saccharomyces cerevisiae filamentation.,2298,"[10073572 24163365 26448198 11208779 28379181 28986257 18487346  1885560
 23385756 21980509 24453983]"
What is the active ingredient in the most common hand sanitizer?,Evaluation of a benzalkonium chloride hand sanitizer in reducing transient Staphylococcus aureus bacterial skin contamination in health care workers.,3905,"[32461409 29502883 32459621 28279942 32790662 31668935 29322859 26282413
 30676276 25726133 33134040 30969148 29987197 21219741 21730079]"
Is MIS-C or Multisystem  Inflammatory syndrome in children a complication of Covid-19?,"Is MIS-C or Multisystem Inflammatory Syndrome in children a complication of Covid-19? Yes, it is.",3962,"[32827525 33180935 32532619 32755212 33055501 33263756 32511374 33180050
 33263635 33278107 32837148 32493734 33243303 33300011 32935083 33042116
 33110725 32975439 32496723 33295957 32923992 32631771 33011038 33042918
 33083367 32839782 33269352 32925547 33217259 32966765 32953455 32946801
 32995826 32463092]"
Is Sotatercept effective for Pulmonary Arterial Hypertension?,Sotatercept was shown to be effective for Pulmonary Arterial Hypertension.,4419,[33789009 33733610]
List 3 therapeutic uses for botulism toxin.,"Botulinum toxin injections are effective in relieving focal spasticity resulting from upper motor neuron injuries, migraine headaches, over active bladder and to relieve pain in the Sacroiliac Joint.",3991,"[31579938 19837283 17119144 31408270 32923741 20664247 33008506 29173661
 17458494]"
What is the function of the protein SLC26A5?,SLC26A5 transporter prestin is fundamental for the higher hearing sensitivity and frequency selectivity of mammals. Prestin is a voltage-dependent transporter found in the cochlear outer hair cells responsible for their electromotility.,4462,[34294052 34373481 33951436 33667636 34695838]
What is the role of the Leucosporidium ice-binding protein,"Arctic yeast Leucosporidium sp. produces a glycosylated ice-binding protein (LeIBP) with a molecular mass of ∼25 kDa, which can lower the freezing point below the melting point once it binds to ice. ce-binding proteins (IBPs) inhibit ice growth through direct interaction with ice crystals to permit the survival of polar organisms in extremely cold environments.",2886,[22303017 24699650 23203635 30296411]
What is Upadacitinib?,Upadacitinib is an oral Janus kinase inhibitor approved for the treatment of rheumatoid arthritis (RA) and recently approved by the European Medicines Agency for the treatment of psoriatic arthritis (PsA).,4470,[34464029 32648334 34551039]
What is the biological function of the SRY circular RNA (circRNA)?,"We suggest that the circles arise from normal splicing processes as a consequence of the unusual genomic structure surrounding the Sry locus in the mouse. While this result does not prove a direct interaction between the two genes, it defines the critical period during which Sry must act to initiate Sertoli cell differentiation. We also attempted to make clear whether the equine SRY gene transcript is expressed in the adult testis, and whether the type of transcript is expressed as linear or circular RNA. We further show that the testis-specific circRNA, sex-determining region Y (Sry), serves as a miR-138 sponge, suggesting that miRNA sponge effects achieved by circRNA formation are a general phenomenon Recent studies have mainly been devoted to the function of the circular RNA sponge for miR-7 (ciRS-7) and sex-determining region Y (SRY) by targeting microRNA-7 (miR-7) and microRNA-138 (miR-138), respectively However, the characteristics and the critical role of circRNA in co-/post-transcriptional regulation were not well recognized until the ""microRNA sponge"" function of circRNA is discovered",2157,[ 8718689 10027176 23446346 26649774  7684656  7600978 25580223]
Which are the lipid lowering drugs administered in patients with Coronary Artery Disease (CAD)?,"The lipid lowering drugs administered in patients with Coronary Artery Disease (CAD) are:
1) Statins
2) Fibrates
3) Resins
4) Niacin
5) Cholesterol absorption-inhibiting drugs.",1824,"[19563393 20671371 16098846 23409830 18674471 15174957 25934512 20574136
 11113401 20124992 24527682 23074505 10987597 27923158 15809368 19090788
 23538020 11597936 18973424 10637948 19801853 25999102]"
What is the function of the protein PIEZO1?,"Piezo1 is a key element of the  mechanotransduction process and can transduce mechanical signals into biological signals by mediating Ca2+ influx, which in turn regulates cytoskeletal remodeling and stress alterations.",4251,[34687906 20007090 34489534 34548087]
What is the role of the blood-brain barrier?,"The blood–brain barrier (BBB) is a highly selective semipermeable membrane barrier that separates the circulating blood from the brain and extracellular fluid in the central nervous system (CNS). The blood–brain barrier is formed by brain endothelial cells and it allows the passage of water, some gases, and lipid-soluble molecules by passive diffusion, as well as the selective transport of molecules such as glucose and amino acids that are crucial to neural function.",2594,[27633771 26995317 27425887 19664711]
Which treatment leads to an increase in neutrophil counts in severe congenital neutropenia?,"In phase I/II/III studies in patients with severe congenital and cyclic neutropenia, treatment with recombinant human granulocyte colony-stimulating factor (r-metHuG-CSF) resulted in a rise in the absolute neutrophil counts (ANC) and a reduction in infections  ",460,[ 7529539  1705835  2683920 10779444 21052952  1689595 16822461]
"Can we detect DNA strand asymmetries using dinucleotide relative abundance ""genomic signatures""?","The set of dinucleotide relative abundances can be regarded as a genomic signature because, despite diversity between species, it varies little between 50 kilobase or longer windows on a given genome. Thus, dinucleotide relative abundance profiles are species-type specific. These profiles are computed from the base step ""odds ratios"" that compare dinucleotide frequencies to those expected under the assumption of stochastic equilibrium (thorough shuffling). Dinucleotide relative abundance ""genomic signatures"" are strand-independent second-order DNA features. Thus, they cannot be used to detect DNA strand asymmetries.",443,"[15046306 10430918 15716010  9294192  9520433 12171605  9190805 18799480
 10066522  7482779]"
What is the importance of Janus Kinases in dermatology?,"Janus Kinase (JAK) is active in many skin diseases and recent evidence show that inhibitors of JAK kinase could be used to treat vitiligo, psoriasis, lupus, alopecia areata and other inflammatory skin diseases.",1773,"[23294276 26051365 26800231 25129481 21347402 23829933 19234192 24825142
  8022486 24131352 12794134 27692733 26345342 26899199]"
How are nucleosome posisitions correlated with sites of 5'-methyl-cytosine (5mC) or 5-hydroxy-methyl-cytosine (5hmC)?,"We find that  Mbd3 and  Brg1 antagonistically regulate a common set of genes by regulating promoter nucleosome occupancy. outside of CpG islands most CpGs are methylated, and the average methylation density oscillates so that it is highest in the linker region between nucleosomes we have investigated nucleosome organization around hypomethylated regions (HMRs)",3306,[26832418 24812327 22196727 25263161 25506399]
Which is the genome browser database for DNA shape annotations?,"GBshape provides minor groove width, propeller twist, roll, helix twist and hydroxyl radical cleavage predictions for the entire genomes of 94 organisms. Additional genomes can easily be added using the GBshape framework. GBshape can be used to visualize DNA shape annotations qualitatively in a genome browser track format, and to download quantitative values of DNA shape features as a function of genomic position at nucleotide resolution.",1897,[25326329]
How are immediate early genes (IEG) defined?,this class of genes is experimentally defined by their transcription following primary infection or reactivation in the presence of inhibitors of protein synthesis. Immediate-early (IE) genes are the first class of viral genes expressed after primary infection or reactivation.,2001,[15507712 11222693 19581597  8783263]
What is the genetic cause of Roberts syndrome?,Roberts syndrome (RBS) is a human developmental disorder caused by mutations in the cohesin acetyltransferase ESCO2.,2838,[28934466 29084713 26710928 28422453 26729373]
Which gene is required for the efficient function of clopidogrel?,"The prodrug clopidogrel requires activation by cytochrome P-450 (CYP) enzymes for its antiplatelet effect. Variability in clopidogrel response might be influenced by polymorphisms in genes coding for drug metabolism enzymes (cytochrome P450 CYP2C19), transport proteins (P-glycoprotein) and/or target proteins for the drug (adenosine diphosphate-receptor P2Y12). The CYP2C19 loss-of-function alleles had a gene dose effect on the pharmacodynamics and composite ischemic events of clopidogrel in our study population. Neither the ABCB1 nor the PON1 genotype significantly influenced the antiplatelet effect and clinical outcomes of clopidogrel in these patients",83,[23150151 15933261 19463375 21099121 21806387 23506580 20826260]
Is recommended the use of perioperative treatment with thyroid hormone therapy in patients undergoing coronary artery bypass grafting?,Currently there is no substantial evidence to justify routine use of thyroid hormones in patients undergoing coronary artery bypass grafting.,790,"[14500064 20668034 16719939  3872103 12643405  8389710  7477166  8633935
  1859661 12213743 18290900  8594265 12079930 10343261 12800543]"
Which R package can infer protein-protein interactions via thermal proximity coaggregation (TPCA)?,Rtpca is an R package implemented methods for inferring protein-protein interactions (PPIs) based on thermal proteome profiling experiments of a single condition or in a differential setting via an approach called thermal proximity coaggregation. It offers user-friendly tools to explore datasets for their PPI predictive performance and easily integrates with available R packages.,4188,[32717044]
What is the active ingredient of Eligard?,The active ingredient of Eligard is leuprorelin acetate.,3425,[29197875]
Which post-translational histone modifications are characteristic of facultative heterochromatin?,"Nuclear VapB methyltransferase diminishes the establishment of facultative heterochromatin by decreasing histone 3 lysine 9 trimethylation (H3K9me3). Dramatic changes in exposure of a repressive chromatin mark, H3K9me2, indicate that during development linker histone plays a role in establishing the facultative heterochromatin territory and architecture in the nucleus. Histone H3 trimethylation at lysine 36 is associated with constitutive and facultative heterochromatin.",1312,[19515781 26430472 23645681 21803857 16648823 25938714]
List disorders that are caused by mutations in the mitochondrial MTND6 gene.,Mitochondrial MTND6 gene mutations are the cause of Leigh syndrome and Leber's hereditary optic neuropathy and/or dystonia.,958,[23847141 24126373 16044424 22970697  7654063 16885236  8090716]
What is the function of the TMEM132 genes?,"The extra-cellular portions of TMEM132 proteins contain five conserved domains including three tandem immunoglobulin domains, and a cohesin domain homologue, the first such domain found in animals. These findings strongly predict a cellular adhesion function for TMEM132 family, connecting the extracellular medium with the intracellular actin cytoskeleton.",2341,[29088312]
What is the relationship between the X chromosome and a  neutrophil drumstick?,"In particular, up to 17% of neutrophil nuclei of healthy women exhibit a drumstick-shaped appendage that contains the inactive X chromosome.",4197,[ 2176962 11534818  7416166  7828232 28374668  3721910]
What are the main clinical components of the brain death exam?,"The three essential findings in brain death are coma, absence of brain stem reflexes by neurologic exam including ancillary testing, and apnea. Studies can highlight the variability in practice in regard to the AT and supports the use of ancillary tests to determine BD in patients. Coma and brain stem reflexes can be determined by several ancillary tests  Ancillary tests include electroencephalography,  brainstem auditory evoked potentials, included somatosensory evoked potentials, transcranial Doppler ultrasonography, conventional cerebral angiography, and  nuclear medicine flow study",4672,"[18514082 33273410 32648194 20724258 31456011 21604079 32667440 32524528
 22522447 32312535]"
Which molecule is targeted by Caplacizumab?,Caplacizumab is anti-von Willebrand factor (VWF) antibody that blocks the interaction between VWF and platelets. It is used for treatment of acquired thrombotic thrombocytopenic purpura (aTTP).,2822,"[23307200 28445600 28139813 29209322 28645643 30046703 29807376 26863353
 30298461 28110841]"
What kind of affinity purification would you use in order to isolate soluble lysosomal proteins?,"The rationale for purification of the soluble lysosomal  proteins resides in their characteristic sugar, the mannose-6-phosphate (M6P),  which allows an easy purification by affinity chromatography on immobilized M6P receptors.",112,"[15789345 17258946 18370023 18507433 11079561 16709564 16145712 16399764
 22158965 18977398 19383612]"
Are cutaneous porphyrias inherited with a recessive pattern?,"No, cutaneous porphyrias are inherited in a dominant (not recessive) pattern.",2088,[11202049 15868463 12859407]
Which molecule is targeted by Teprotumumab?,Teprotumumab is a human monoclonal antibody that targets IGF-1R. It can be used for treatment of thyroid eye disease.,4201,"[31377284 32040069 30215690 32429706 31813786 29744034 33237667 28467880
 26361263 32088116 33221815 32059832 32795835 30575804 32707005 31814726
 32157641 25105999 29273685 26087256 30385883 31356255 31971679 24878056]"
Which are the most abundant human lincRNA?,"MALAT1 (metastasis-associated lung adenocarcinoma transcript 1) locus is misregulated in many human cancers and produces an abundant long nuclear-retained noncoding RNA. MALAT/NEAT2 highly abundant, its expression is strongly regulated in many tumor entities including lung adenocarcinoma and hepatocellular carcinoma as well as physiological processes, and it is associated with many RNA binding proteins and highly conserved throughout evolution. H19 large intergenic non-coding RNA (lincRNA) is one of the most highly abundant and conserved transcripts in mammalian development, being expressed in both embryonic and extra-embryonic cell lineages, yet its physiological function is unknown. Our genome-wide screens in two mammalian species reveal no more than three abundant large non-coding polyadenylated RNAs in the nucleus; the canonical large noncoding RNA XIST and NEAT1 and NEAT2.",1268,"[17270048  9886562 22718948 23129630 22840393  8785513 24035497 22916204
 23243023 22840402 23073843 12490325 20459797 22858678 22684254]"
What is protein carbamylation?,"Protein carbamylation is a post-translational modification that can occur in the presence of urea. In solution, urea is in equilibrium with ammonium cyanate, and carbamylation occurs when cyanate ions react with the amino groups of lysines, arginines, protein N-termini, as well as sulfhydryl groups of cysteines. Protein carbamylation is one of the important post-translational modifications, which plays a pivotal role in a number of biological conditions, such as diseases, chronic renal failure and atherosclerosis.",631,"[24324801 23431074 23335428 23582087 24900204 24161613 21838543 17828273
 24056952 25037561 21235354 24386107]"
What is the role of probiotics in gastrointestinal disease?,"Probiotics are live, microbial food supplements that benefit the host animal by improving intestinal microbial balance. Across all 11 probiotic species and eight different gastrointestinal diseases   - Irritable Bowel Syndrome (IBS), Helicobacter pylori infection (HPP), Necrotizing Enterocolitis (NEC), Pouchitis (Pouch), Antibiotic Associated diarrhea (AAD), Clostridium difficile Disease (CDD), Infectious diarrhea (ID), and Travellers diarrhea (TD) -  probiotics have been shown to have effect on prevention and treatment of gastrointestinal disease through enhancing the immune response, protection against abnormal invasive bacteria. Probiotics have a role in all age groups, incl. infants.",610,"[22529959 19930635 22118700 16215086 21426607 20216432 20890386 15076628
 12846937]"
Describe SLIC-CAGE,"SLIC-CAGE is a Super-Low Input Carrier-CAGE approach to capture 5' ends of RNA polymerase II transcripts from as little as 5-10 ng of total RNA. This dramatic increase in sensitivity is achieved by specially designed, selectively degradable carrier RNA. SLIC-CAGE can generate data for genome-wide promoterome with 1000-fold less material than required by existing CAGE methods.",2964,[30404778]
Where is base J found in the genome of Leishmania tarentolae?,Base J (β-D-glucosyl-hydroxymethyluracil) replaces 1% of T in the Leishmania genome and is only found in telomeric repeats (99%) and in regions where transcription starts and stops. Base J is found predominantly in repetitive DNA and correlates with epigenetic silencing of telomeric variant surface glycoprotein genes in Trypanosoma brucei.,2051,[25662217 10562569 19114062 20215442 25104019 17329373]
Is there any involvement of L1 retrotransposition in the Rett syndrome?,Yes. Recent studies indicate that long interspersed nuclear element-1 (L1) are mobilized in the genome of human neural progenitor cells and enhanced in Rett syndrome and ataxia telangiectasia.,2226,[24389010 23057747 21085180 22159035]
List intramembrane rhomboid peptidases,"PARL
Pcp1
hiGlpG
ecGlpG
YqgP",2757,[21455272 29301859 22921757 12417197]
Which disease is caused by repeat expansion in VWA1?,An ancestral 10-bp repeat expansion in VWA1 causes recessive hereditary motor neuropathy.,4712,[33559681]
Does Uc.160 promote cancer?,"No. Uc.160+ is a T-UCR reported to be downregulated in human cancer. In addition, Uc.160+ could possibly have a tumor suppressive role in gastric cancer.",2522,[28382457 20802525]
Is periampullary carcinoma (PAC) a relatively rare genitourinary malignancy,Periampullary carcinoma (PAC) a relatively rare gastrointestinal malignancy and includes Pancreaticobiliary as a subtype of Periampullary carcinoma,4416,[24075520 23187842 30258276 10073125 29504325 33227091 34673588 24650967]
Is the NLM medical text indexer (MTI) still useful and relevant?,"Yes. The NLM Medical Text Indexer (MTI) is still relevant and useful, and needs to be improved and expanded. The BioASQ Challenge results have shown that more machine learning needs to be incorporated into MTI while still retaining the indexing rules that have earned MTI the indexers' trust over the years. MTI also needs to be expanded through the use of full text, when and where it is available, to provide coverage of indexing terms that are typically only found in the full text.",3073,[28231809]
Which yeast nucleosomes are preferentially marked by H2A.Z?,Yeast nucleosomes containing histone variant H2A.Z (Htz1p in yeast) are primarily composed of H4 K12ac and H3 K4me3.,2281,[16248679 19246569 28951178 24613878 22393239 26789756 22821566 27992255]
Which thyroid hormone transporter is implicated in thyroid hormone resistance syndrome?,thyroid hormone transporter MCT8 is implicated in thyroid hormone resistance syndrome,1185,"[ 8115332 21874823 18940949  1422238  8475937 22986150 19541799 17684393
  9350446  1580595  8594618 21825978 12946875  9092799  2885829  7833674
 24170966 23392090  8421095 21459689 17040361 21468521 10687857 17132274
 17161330 18334584 17574009]"
"Which mushroom is poisonous, Amanita phalloides or Agaricus Bisporus",The well-known cultivated species Agaricus bisporus is safe to eat while Amanita Phalloides is poisonous.,2163,[26304449 27389675 27596390]
Name a CFL2 mutation which is associated with nemaline myopathy?,"A mutation in CFL2 was identified in a family with nemaline myopathy, namely a homozygous missense mutation in exon 2 (c.19G>A, p.Val7Met).",3179,[22560515]
